입력 및 분석	사용자 코드에 문법 에러(Syntax Error)가 포함된 경우 처리 시점은?	에디터 입력 단계에서 즉시 빨간 밑줄로 표시하고, 실행 시도 시에도 동일 에러를 즉시 안내한다. (런타임 시뮬레이션은 시작되지 않음)
입력 및 분석	PS 문제 지문 없이 코드만 입력했을 때도 시뮬레이션을 진행하는가?	코드만 입력했을 때도 코드에서 사용된 데이터구조 및 알고리즘을 파악할 수 있도록 한다.
입력 및 분석	알고리즘 실행에 필요한 구체적인 입력값(테스트 케이스)은 누가 제공하는가?	사용자가 직접 입력한다. 구체적인 값은 사용자 제공을 원칙으로 한다.
입력 및 분석	코드 입력 길이에 상한선이 있는가?	가독성과 성능을 위해 매우 넉넉한 수준의 상한선을 두어 사실상 자유로운 입력을 보장한다. (300줄 정도)
시각화	AI가 선택한 시각화 전략을 사용자가 수동으로 변경할 수 있는가?	제공하지 않는다. 지문과 코드의 상관관계를 기반으로 AI가 판단한 최적의 전략을 신뢰한다.
시각화	대규모 데이터 상황에서 시각화 노출 범위(Viewport) 제한 방식은?	스크롤 없이 한 화면에 모든 요소를 노출한다. 이를 위해 데이터 크기(배열 길이, 노드 수 등)에 상한선을 두어 가독성을 확보한다.
시각화	하나의 코드 내에 여러 자료구조가 혼용될 경우 시각화 방식은?	복수의 시각화 패널을 동시에 제공하여, 사용된 모든 데이터 구조(Stack, Grid, Queue, Graph 등)와 알고리즘 흐름을 실시간으로 시각화한다.
디버깅 제어	이전 단계(Back Step)'로 돌아갈 때의 시각화 표현 방식은?	단순 값 복구가 아닌 완벽한 과거 시점으로의 회귀를 지향한다. 모든 데이터 변화와 애니메이션 상태를 역재생하여 보여준다.
디버깅 제어	Auto-play 기능의 속도 및 조절 범위는?	서비스 측에서 최적의 기본값(1초/step)을 제공하며, 사용자가 UI를 통해 배속을 자유롭게 조절할 수 있도록 한다.
디버깅 제어	시뮬레이션 진행 중 코드를 수정하고 즉시 재실행할 수 있는가?	시뮬레이션(디버깅) 중은 코드 영역을 ReadOnly 로 바꿔서 수정할 수 없고, 사용자는 디버깅 모드를 종료해야 코드를 수정할 수 있다. 사용자가 코드를 수정한 이후에는 디버깅 버튼을 다시 눌러 시뮬레이션이 가능하다.
에러 핸들링	에러 발생 시 '수정 코드 제안' 기능을 제공하는가?	제공하지 않는다. 디버거 본연의 역할에 집중하여 사용자가 스스로 원인을 파악하고 해결하도록 유도한다.
에러 핸들링	무한 루프나 시간 초과 가능성 발견 시 처리 방식은?	"시간초과/메모리초과는 문제 지문을 제공하지 않기 때문에, 따로 파악 불가.
무한루프/stackoverflow 가능성에 대해서 사전 경고 출력, 설정된 임계값(무한루프 N번 등)을 초과하는 순간 경고를 출력하고 시뮬레이션을 강제 종료한다."
기술적 제약	한 세션당 최대 시뮬레이션 단계(Step) 수에 제한이 있는가?	제한을 둔다. AI 비용과 브라우저 성능을 고려하여 최적의 수치(ai가 적절히 판단)를 확정할 예정이다.
사용자 경험	디버깅 과정(Trace 데이터) 공유 기능을 제공하는가?	제공하지 않는다. 개인의 로직 검증과 학습 경험에 온전히 집중하도록 설계한다.
사용자 경험	시뮬레이션 정상 완료 시 어떤 피드백을 제공하는가?	출력창에 결괏값 표시로 끝, 별도의 팝업 없이 간결하게 마무리한다.
